Unnamed: 0,Simulation,Category,Object,Parameter,Data File
855,DAY_AHEAD,Generator,278,PMax MW,DAY_AHEAD_solar.csv
856,REAL_TIME,Generator,278,PMin MW,REAL_TIME_solar.csv
857,REAL_TIME,Generator,278,PMax MW,REAL_TIME_solar.csv
858,DAY_AHEAD,Generator,282,PMin MW,DAY_AHEAD_solar.csv
859,DAY_AHEAD,Generator,282,PMax MW,DAY_AHEAD_solar.csv
860,REAL_TIME,Generator,282,PMin MW,REAL_TIME_solar.csv
861,REAL_TIME,Generator,282,PMax MW,REAL_TIME_solar.csv
863,REAL_TIME,Generator,pv_3-c,PMax MW,REAL_TIME_solar.csv
864,REAL_TIME,Generator,pv_6-c,PMax MW,REAL_TIME_solar.csv
865,REAL_TIME,Generator,pv_7-c,PMax MW,REAL_TIME_solar.csv
868,REAL_TIME,Generator,pv_13-c,PMax MW,REAL_TIME_solar.csv
874,REAL_TIME,Generator,pv_22-c,PMax MW,REAL_TIME_solar.csv
877,REAL_TIME,Generator,pv_26-c,PMax MW,REAL_TIME_solar.csv
878,REAL_TIME,Generator,pv_27-c,PMax MW,REAL_TIME_solar.csv
879,REAL_TIME,Generator,pv_28-c,PMax MW,REAL_TIME_solar.csv
880,REAL_TIME,Generator,pv_29-c,PMax MW,REAL_TIME_solar.csv
881,REAL_TIME,Generator,pv_30-c,PMax MW,REAL_TIME_solar.csv
882,REAL_TIME,Generator,pv_31-c,PMax MW,REAL_TIME_solar.csv
885,REAL_TIME,Generator,pv_34-c,PMax MW,REAL_TIME_solar.csv
888,REAL_TIME,Generator,pv_38-c,PMax MW,REAL_TIME_solar.csv
889,REAL_TIME,Generator,pv_40-c,PMax MW,REAL_TIME_solar.csv
893,REAL_TIME,Generator,pv_46-c,PMax MW,REAL_TIME_solar.csv
896,REAL_TIME,Generator,pv_50-c,PMax MW,REAL_TIME_solar.csv
900,REAL_TIME,Generator,pv_55-c,PMax MW,REAL_TIME_solar.csv
903,REAL_TIME,Generator,pv_59-c,PMax MW,REAL_TIME_solar.csv
907,REAL_TIME,Generator,pv_65-c,PMax MW,REAL_TIME_solar.csv
909,REAL_TIME,Generator,pv_68-c,PMax MW,REAL_TIME_solar.csv
910,REAL_TIME,Generator,pv_70-c,PMax MW,REAL_TIME_solar.csv
913,REAL_TIME,Generator,pv_76-c,PMax MW,REAL_TIME_solar.csv
914,REAL_TIME,Generator,pv_77-c,PMax MW,REAL_TIME_solar.csv
920,REAL_TIME,Generator,pv_83-c,PMax MW,REAL_TIME_solar.csv
922,REAL_TIME,Generator,pv_86-c,PMax MW,REAL_TIME_solar.csv
924,REAL_TIME,Generator,pv_88-c,PMax MW,REAL_TIME_solar.csv
925,REAL_TIME,Generator,pv_89-c,PMax MW,REAL_TIME_solar.csv
928,REAL_TIME,Generator,pv_92-c,PMax MW,REAL_TIME_solar.csv
930,REAL_TIME,Generator,pv_94-c,PMax MW,REAL_TIME_solar.csv
934,REAL_TIME,Generator,pv_101-c,PMax MW,REAL_TIME_solar.csv
935,REAL_TIME,Generator,pv_102-c,PMax MW,REAL_TIME_solar.csv
936,REAL_TIME,Generator,pv_106-c,PMax MW,REAL_TIME_solar.csv
944,REAL_TIME,Generator,pv_117-c,PMax MW,REAL_TIME_solar.csv
946,REAL_TIME,Generator,pv_119-c,PMax MW,REAL_TIME_solar.csv
949,REAL_TIME,Generator,pv_3-c,PMin MW,REAL_TIME_solar.csv
950,REAL_TIME,Generator,pv_6-c,PMin MW,REAL_TIME_solar.csv
951,REAL_TIME,Generator,pv_7-c,PMin MW,REAL_TIME_solar.csv
954,REAL_TIME,Generator,pv_13-c,PMin MW,REAL_TIME_solar.csv
960,REAL_TIME,Generator,pv_22-c,PMin MW,REAL_TIME_solar.csv
963,REAL_TIME,Generator,pv_26-c,PMin MW,REAL_TIME_solar.csv
964,REAL_TIME,Generator,pv_27-c,PMin MW,REAL_TIME_solar.csv
965,REAL_TIME,Generator,pv_28-c,PMin MW,REAL_TIME_solar.csv
966,REAL_TIME,Generator,pv_29-c,PMin MW,REAL_TIME_solar.csv
967,REAL_TIME,Generator,pv_30-c,PMin MW,REAL_TIME_solar.csv
968,REAL_TIME,Generator,pv_31-c,PMin MW,REAL_TIME_solar.csv
971,REAL_TIME,Generator,pv_34-c,PMin MW,REAL_TIME_solar.csv
974,REAL_TIME,Generator,pv_38-c,PMin MW,REAL_TIME_solar.csv
975,REAL_TIME,Generator,pv_40-c,PMin MW,REAL_TIME_solar.csv
979,REAL_TIME,Generator,pv_46-c,PMin MW,REAL_TIME_solar.csv
982,REAL_TIME,Generator,pv_50-c,PMin MW,REAL_TIME_solar.csv
986,REAL_TIME,Generator,pv_55-c,PMin MW,REAL_TIME_solar.csv
989,REAL_TIME,Generator,pv_59-c,PMin MW,REAL_TIME_solar.csv
993,REAL_TIME,Generator,pv_65-c,PMin MW,REAL_TIME_solar.csv
995,REAL_TIME,Generator,pv_68-c,PMin MW,REAL_TIME_solar.csv
996,REAL_TIME,Generator,pv_70-c,PMin MW,REAL_TIME_solar.csv
999,REAL_TIME,Generator,pv_76-c,PMin MW,REAL_TIME_solar.csv
1000,REAL_TIME,Generator,pv_77-c,PMin MW,REAL_TIME_solar.csv
1006,REAL_TIME,Generator,pv_83-c,PMin MW,REAL_TIME_solar.csv
1008,REAL_TIME,Generator,pv_86-c,PMin MW,REAL_TIME_solar.csv
1010,REAL_TIME,Generator,pv_88-c,PMin MW,REAL_TIME_solar.csv
1011,REAL_TIME,Generator,pv_89-c,PMin MW,REAL_TIME_solar.csv
1014,REAL_TIME,Generator,pv_92-c,PMin MW,REAL_TIME_solar.csv
1016,REAL_TIME,Generator,pv_94-c,PMin MW,REAL_TIME_solar.csv
1020,REAL_TIME,Generator,pv_101-c,PMin MW,REAL_TIME_solar.csv
1021,REAL_TIME,Generator,pv_102-c,PMin MW,REAL_TIME_solar.csv
1022,REAL_TIME,Generator,pv_106-c,PMin MW,REAL_TIME_solar.csv
1030,REAL_TIME,Generator,pv_117-c,PMin MW,REAL_TIME_solar.csv
1032,REAL_TIME,Generator,pv_119-c,PMin MW,REAL_TIME_solar.csv
1035,REAL_TIME,Generator,wind_3-c,PMax MW,REAL_TIME_wind.csv
1036,REAL_TIME,Generator,wind_6-c,PMax MW,REAL_TIME_wind.csv
1037,REAL_TIME,Generator,wind_7-c,PMax MW,REAL_TIME_wind.csv
1040,REAL_TIME,Generator,wind_13-c,PMax MW,REAL_TIME_wind.csv
1046,REAL_TIME,Generator,wind_22-c,PMax MW,REAL_TIME_wind.csv
1049,REAL_TIME,Generator,wind_26-c,PMax MW,REAL_TIME_wind.csv
1050,REAL_TIME,Generator,wind_27-c,PMax MW,REAL_TIME_wind.csv
1051,REAL_TIME,Generator,wind_28-c,PMax MW,REAL_TIME_wind.csv
1052,REAL_TIME,Generator,wind_29-c,PMax MW,REAL_TIME_wind.csv
